Team,Week,Rank,W,L,Winning Percentage,Opp. Rank,Opp. P5,Home,Result,Points Scored,Points Against,Margin,Next Week Rank,Movement
Michigan State,2,26,,,,,,,,,,,,
Michigan State,3,26,,,,,,,,,,,,
Fresno State,1,26,,,,,,,,,,,,
Fresno State,2,26,,,,,,,,,,,,
Fresno State,3,26,,,,,,,,,,,,
Fresno State,6,26,,,,,,,,,,,,
Fresno State,7,26,,,,,,,,,,,,
Fresno State,8,26,,,,,,,,,,,,
Fresno State,9,26,,,,,,,,,,,,
Fresno State,11,26,,,,,,,,,,,,
Fresno State,12,26,,,,,,,,,,,,
Kansas State,1,26,,,,,,,,,,,,
Kansas State,2,26,,,,,,,,,,,,
Kansas State,3,26,,,,,,,,,,,,
Kansas State,5,26,,,,,,,,,,,,
Kansas State,6,26,,,,,,,,,,,,
Kansas State,7,26,,,,,,,,,,,,
Kansas State,8,26,,,,,,,,,,,,
Kansas State,9,26,,,,,,,,,,,,
Kansas State,10,26,,,,,,,,,,,,
Kansas State,11,26,,,,,,,,,,,,
Kansas State,12,26,,,,,,,,,,,,
Oklahoma State,1,26,,,,,,,,,,,,
Oklahoma State,2,26,,,,,,,,,,,,
Oklahoma State,3,26,,,,,,,,,,,,
Oklahoma State,4,26,,,,,,,,,,,,
Baylor,1,26,,,,,,,,,,,,
Baylor,2,26,,,,,,,,,,,,
Baylor,3,26,,,,,,,,,,,,
Baylor,4,26,,,,,,,,,,,,
Baylor,6,26,,,,,,,,,,,,
Baylor,7,26,,,,,,,,,,,,
NC State,1,26,,,,,,,,,,,,
NC State,2,26,,,,,,,,,,,,
NC State,3,26,,,,,,,,,,,,
NC State,4,26,,,,,,,,,,,,
NC State,9,26,,,,,,,,,,,,
NC State,10,26,,,,,,,,,,,,
Wake Forest,1,26,,,,,,,,,,,,
Wake Forest,2,26,,,,,,,,,,,,
Wake Forest,3,26,,,,,,,,,,,,
Wake Forest,4,26,,,,,,,,,,,,
Kentucky,1,26,,,,,,,,,,,,
Kentucky,2,26,,,,,,,,,,,,
Kentucky,3,26,,,,,,,,,,,,
Kentucky,4,26,,,,,,,,,,,,
Kentucky,5,26,,,,,,,,,,,,
Kentucky,11,26,,,,,,,,,,,,
Kentucky,12,26,,,,,,,,,,,,
SMU,1,26,,,,,,,,,,,,
SMU,2,26,,,,,,,,,,,,
SMU,3,26,,,,,,,,,,,,
SMU,4,26,,,,,,,,,,,,
SMU,5,26,,,,,,,,,,,,
SMU,11,26,,,,,,,,,,,,
SMU,12,26,,,,,,,,,,,,
San Diego State,1,26,,,,,,,,,,,,
San Diego State,2,26,,,,,,,,,,,,
San Diego State,3,26,,,,,,,,,,,,
San Diego State,4,26,,,,,,,,,,,,
San Diego State,5,26,,,,,,,,,,,,
San Diego State,10,26,,,,,,,,,,,,
San Diego State,11,26,,,,,,,,,,,,
Pittsburgh,1,26,,,,,,,,,,,,
Pittsburgh,2,26,,,,,,,,,,,,
Pittsburgh,3,26,,,,,,,,,,,,
Pittsburgh,4,26,,,,,,,,,,,,
Pittsburgh,5,26,,,,,,,,,,,,
Pittsburgh,6,26,,,,,,,,,,,,
Pittsburgh,7,26,,,,,,,,,,,,
Pittsburgh,10,26,,,,,,,,,,,,
UTSA,1,26,,,,,,,,,,,,
UTSA,2,26,,,,,,,,,,,,
UTSA,3,26,,,,,,,,,,,,
UTSA,4,26,,,,,,,,,,,,
UTSA,5,26,,,,,,,,,,,,
UTSA,6,26,,,,,,,,,,,,
UTSA,7,26,,,,,,,,,,,,
Purdue,1,26,,,,,,,,,,,,
Purdue,2,26,,,,,,,,,,,,
Purdue,3,26,,,,,,,,,,,,
Purdue,4,26,,,,,,,,,,,,
Purdue,5,26,,,,,,,,,,,,
Purdue,6,26,,,,,,,,,,,,
Purdue,7,26,,,,,,,,,,,,
Purdue,9,26,,,,,,,,,,,,
Purdue,10,26,,,,,,,,,,,,
Purdue,11,26,,,,,,,,,,,,
Purdue,12,26,,,,,,,,,,,,
Houston,1,26,,,,,,,,,,,,
Houston,2,26,,,,,,,,,,,,
Houston,3,26,,,,,,,,,,,,
Houston,4,26,,,,,,,,,,,,
Houston,5,26,,,,,,,,,,,,
Houston,6,26,,,,,,,,,,,,
Houston,7,26,,,,,,,,,,,,
Houston,8,26,,,,,,,,,,,,
Houston,9,26,,,,,,,,,,,,
